iter	Passed	Remaining
0	1	232
1	1	169
2	2	149
3	2	142
4	3	136
5	4	134
6	4	135
7	5	132
8	5	126
9	6	124
10	7	125
11	7	122
12	8	121
13	9	120
14	9	119
15	10	118
16	10	117
17	11	117
18	12	115
19	12	114
20	13	113
21	13	112
22	14	112
23	15	111
24	15	109
25	16	109
26	16	108
27	17	107
28	18	107
29	18	106
30	19	105
31	19	104
32	20	102
33	20	102
34	21	101
35	22	100
36	22	99
37	23	99
38	23	98
39	24	97
40	24	96
41	25	96
42	26	95
43	26	94
44	27	93
45	27	92
46	28	91
47	28	91
48	29	90
49	29	89
50	30	88
51	30	87
52	31	87
53	32	86
54	32	85
55	33	85
56	33	84
57	34	83
58	34	83
59	35	82
60	35	81
61	36	81
62	37	80
63	37	79
64	38	79
65	38	78
66	39	77
67	39	76
68	40	76
69	40	75
70	41	74
71	41	74
72	42	73
73	42	72
74	43	72
75	43	71
76	44	71
77	45	70
78	45	70
79	46	69
80	46	68
81	47	68
82	47	67
83	48	66
84	48	66
85	49	65
86	49	64
87	50	64
88	51	63
89	51	63
90	52	62
91	52	61
92	53	61
93	53	60
94	54	60
95	54	59
96	55	58
97	56	58
98	56	57
99	57	57
100	57	56
101	58	55
102	58	55
103	59	54
104	59	54
105	60	53
106	60	52
107	61	52
108	61	51
109	62	51
110	63	50
111	63	49
112	64	49
113	64	48
114	65	48
115	65	47
116	66	47
117	67	46
118	67	46
119	68	45
120	68	44
121	69	44
122	69	43
123	70	43
124	70	42
125	71	41
126	71	41
127	72	40
128	73	40
129	73	39
130	74	39
131	74	38
132	75	37
133	75	37
134	76	36
135	76	36
136	77	35
137	77	34
138	79	34
139	80	34
140	81	33
141	81	33
142	82	32
143	82	32
144	83	31
145	84	31
146	84	30
147	85	29
148	85	29
149	86	28
150	87	28
151	87	27
152	88	27
153	89	26
154	89	26
155	90	25
156	90	24
157	91	24
158	91	23
159	92	23
160	93	22
161	93	21
162	94	21
163	94	20
164	95	20
165	95	19
166	96	19
167	96	18
168	97	17
169	98	17
170	98	16
171	99	16
172	99	15
173	100	14
174	100	14
175	101	13
176	102	13
177	102	12
178	103	12
179	103	11
180	104	10
181	104	10
182	105	9
183	106	9
184	106	8
185	107	8
186	107	7
187	108	6
188	108	6
189	109	5
190	110	5
191	110	4
192	111	4
193	111	3
194	112	2
195	112	2
196	113	1
197	113	1
198	114	0
199	114	0
